x	y	group	clickSelects	PANEL
1	1	1	1	2
2	1	1	1	2
3	1	1	1	2
4	1	1	1	2
5	1	1	1	2
6	1	1	1	2
7	1	1	1	2
8	1	1	1	2
9	1	1	1	2
10	1	1	1	2
11	1	1	1	2
12	1	1	1	2
13	1	1	1	2
14	1	1	1	2
15	1	1	1	2
16	1	1	1	2
17	1	1	1	2
18	1	1	1	2
19	1	1	1	2
20	1	1	1	2
21	1	1	1	2
22	1	1	1	2
23	1	1	1	2
24	1	1	1	2
25	1	1	1	2
26	1	1	1	2
27	1	1	1	2
28	1	1	1	2
29	1	1	1	2
30	1	1	1	2
31	1	1	1	2
32	1	1	1	2
33	1	1	1	2
34	1	1	1	2
35	1	1	1	2
36	1	1	1	2
37	1	1	1	2
38	1	1	1	2
39	1	1	1	2
40	1	1	1	2
2	2	2	2	2
3	3	2	2	2
4	4	2	2	2
5	5	2	2	2
6	6	2	2	2
7	7	2	2	2
8	5	2	2	2
9	6	2	2	2
10	5	2	2	2
11	5	2	2	2
12	6	2	2	2
13	6	2	2	2
14	6	2	2	2
15	6	2	2	2
16	7	2	2	2
17	8	2	2	2
18	7	2	2	2
19	7	2	2	2
20	5	2	2	2
21	6	2	2	2
22	5	2	2	2
23	4	2	2	2
24	5	2	2	2
25	4	2	2	2
26	5	2	2	2
27	5	2	2	2
28	5	2	2	2
29	6	2	2	2
30	4	2	2	2
31	4	2	2	2
32	4	2	2	2
33	5	2	2	2
34	4	2	2	2
35	5	2	2	2
36	5	2	2	2
37	5	2	2	2
38	5	2	2	2
39	5	2	2	2
40	5	2	2	2
3	2	3	3	2
4	2	3	3	2
5	2	3	3	2
6	3	3	3	2
7	4	3	3	2
8	5	3	3	2
9	4	3	3	2
10	5	3	3	2
11	5	3	3	2
12	4	3	3	2
13	4	3	3	2
14	4	3	3	2
15	4	3	3	2
16	5	3	3	2
17	6	3	3	2
18	7	3	3	2
19	7	3	3	2
20	7	3	3	2
21	5	3	3	2
22	6	3	3	2
23	6	3	3	2
24	6	3	3	2
25	8	3	3	2
26	4	3	3	2
27	6	3	3	2
28	6	3	3	2
29	5	3	3	2
30	6	3	3	2
31	3	3	3	2
32	3	3	3	2
33	5	3	3	2
34	7	3	3	2
35	6	3	3	2
36	2	3	3	2
37	2	3	3	2
38	3	3	3	2
39	4	3	3	2
40	5	3	3	2
