colour	group	PANEL
#F27D53	1	4
#39B600	2	4
#00B92A	3	4
#00BB4E	4	4
#00BE67	5	4
#00BF7D	6	4
#00C091	7	4
#00C1A3	8	4
#00C0B4	9	4
#00BFC4	10	4
#00BDD3	11	4
#EA8331	12	4
#00BAE0	13	4
#00B5EC	14	4
#00B0F6	15	4
#00A9FF	16	4
#35A2FF	17	4
#7099FF	18	4
#9590FF	19	4
#B186FF	20	4
#C77CFF	21	4
#D973FC	22	4
#E28A00	23	4
#E76BF3	24	4
#F265E8	25	4
#FA62DB	26	4
#B2A000	27	4
#A3A500	28	4
#91AA00	29	4
#7CAE00	30	4
#61B200	31	4
#FF61CC	32	4
#FF62BC	33	4
#D89000	34	4
#CD9600	35	4
#C09B00	36	4
#FF65AA	37	4
#FF6A98	38	4
#FD7083	39	4
#F27D53	40	4
#39B600	41	4
#00B92A	42	4
#00BB4E	43	4
#00BE67	44	4
#00BF7D	45	4
#00C091	46	4
#00C1A3	47	4
#00C0B4	48	4
#00BFC4	49	4
#00BDD3	50	4
#EA8331	51	4
#00BAE0	52	4
#00B5EC	53	4
#00B0F6	54	4
#00A9FF	55	4
#35A2FF	56	4
#7099FF	57	4
#9590FF	58	4
#B186FF	59	4
#C77CFF	60	4
#D973FC	61	4
#E28A00	62	4
#E76BF3	63	4
#F265E8	64	4
#FA62DB	65	4
#B2A000	66	4
#A3A500	67	4
#91AA00	68	4
#7CAE00	69	4
#61B200	70	4
#FF61CC	71	4
#FF62BC	72	4
#D89000	73	4
#CD9600	74	4
#C09B00	75	4
#FF65AA	76	4
#FF6A98	77	4
#FD7083	78	4
#39B600	79	4
#00B92A	80	4
#00BB4E	81	4
#00BE67	82	4
#00BF7D	83	4
#00C091	84	4
#00C1A3	85	4
#00C0B4	86	4
#00BFC4	87	4
#00BDD3	88	4
#EA8331	89	4
#00BAE0	90	4
#00B5EC	91	4
#00B0F6	92	4
#00A9FF	93	4
#35A2FF	94	4
#7099FF	95	4
#9590FF	96	4
#B186FF	97	4
#C77CFF	98	4
#D973FC	99	4
#E28A00	100	4
#E76BF3	101	4
#F265E8	102	4
#FA62DB	103	4
#B2A000	104	4
#A3A500	105	4
#7CAE00	106	4
#61B200	107	4
#CD9600	108	4
#C09B00	109	4
#FF65AA	110	4
#FF6A98	111	4
#FD7083	112	4
#39B600	113	4
#00B92A	114	4
#00BB4E	115	4
#00BE67	116	4
#00BF7D	117	4
#00C091	118	4
#00C1A3	119	4
#00C0B4	120	4
#00BFC4	121	4
#00BDD3	122	4
#EA8331	123	4
#00BAE0	124	4
#00B5EC	125	4
#00B0F6	126	4
#00A9FF	127	4
#35A2FF	128	4
#7099FF	129	4
#9590FF	130	4
#B186FF	131	4
#C77CFF	132	4
#D973FC	133	4
#E28A00	134	4
#E76BF3	135	4
#F265E8	136	4
#FA62DB	137	4
#B2A000	138	4
#A3A500	139	4
#FF61CC	140	4
#C09B00	141	4
#FF65AA	142	4
#FF6A98	143	4
#FD7083	144	4
#39B600	145	4
#00B92A	146	4
#00C091	147	4
#00C1A3	148	4
#00C0B4	149	4
#00BFC4	150	4
#00BDD3	151	4
#00BAE0	152	4
#00B5EC	153	4
#00B0F6	154	4
#00A9FF	155	4
#35A2FF	156	4
#7099FF	157	4
#9590FF	158	4
#B186FF	159	4
#C77CFF	160	4
#D973FC	161	4
#E28A00	162	4
#FA62DB	163	4
#B2A000	164	4
#A3A500	165	4
#D89000	166	4
#C09B00	167	4
#FF65AA	168	4
#FD7083	169	4
#00B92A	170	4
#00BB4E	171	4
#00BE67	172	4
#00BF7D	173	4
#00C1A3	174	4
#00C0B4	175	4
#00BFC4	176	4
#00BDD3	177	4
#00BAE0	178	4
#00B5EC	179	4
#00B0F6	180	4
#00A9FF	181	4
#9590FF	182	4
#B186FF	183	4
#C77CFF	184	4
#D973FC	185	4
#B2A000	186	4
#A3A500	187	4
#CD9600	188	4
#FF6A98	189	4
#00C091	190	4
#00C0B4	191	4
#00BFC4	192	4
#00BDD3	193	4
#35A2FF	194	4
#B2A000	195	4
#C09B00	196	4
#00C1A3	197	4
#35A2FF	198	4
